# s1, s2, s3, s4, s5, s6, s7, s8, s9, sMean, LidoSNS1, LidoSNS2, LidoSNS3, LidoSNSmean, LidoSham1, LidoSham2, LidoSham3, LidoShamMean, Hex1, Hex2, Hex3, HexMean, Atr1, Atr2, Atr3, AtrMean
3.052800862483868727e-01,1.991909213085426081e-02,3.364133294597517754e-01,7.894138058548409720e-02,2.203685275444981426e-02,3.085334517382657404e-01,2.689975830278526492e-01,1.388044283037177529e-01,4.481310637732960345e-01,2.141174742246732265e-01,6.478037574280079425e-02,3.985909330090471880e-01,1.766529404837296757e-01,2.133414164118592193e-01,1.177202049142237889e-01,3.028415988797907299e-01,1.240197314803514195e-01,1.815271784247886322e-01,4.489343126699728292e-02,1.118726571413184018e-01,3.304820050738454529e-01,1.624160311607203699e-01,1.247447791856578503e-01,3.782139233094373165e-01,5.643525815230343579e-01,3.557704280060431934e-01
2.749277594690135440e-01,1.482923864640469692e-02,2.239117624671988771e-01,5.983319705176930875e-02,3.733784056715042793e-02,3.586560894468704408e-01,1.311653075316600858e-01,9.690547758682060975e-02,2.432698322206334196e-01,1.600929449986134845e-01,2.666838507582421913e-01,6.903274084949811984e-01,6.804424940092335117e-01,5.458179177541523375e-01,2.761700619140892154e-01,3.197664699802662547e-01,4.870658961258207409e-01,3.610008093400587370e-01,5.587729213878767087e-01,5.642769791185553441e-02,5.058208837270897762e-01,3.736738343422740249e-01,2.228120279822878302e-01,3.792978506275588857e-01,7.918268532388099690e-01,4.646455772828855246e-01
1.634236019476841828e-01,2.638313365472647748e-02,5.000000000000000000e-01,1.717632296466526376e-01,3.371058292462444927e-02,1.837604877043587659e-01,5.198187955817095557e-02,1.326250922279710864e-01,2.671849498242316323e-01,1.700925508320466906e-01,2.209608699953702904e-01,4.059320169964789615e-01,5.000000000000000000e-01,3.756309623306164358e-01,2.861917387045924133e-01,4.678544515914817015e-01,5.830268953676797095e-01,4.456910285545845896e-01,3.182428203758502772e-01,6.036682158824818734e-02,2.835373639827069581e-01,2.207156686489351316e-01,6.173295027173368588e-02,2.852582262395467749e-01,8.134561716193619008e-01,3.868157827102141066e-01
2.304912867952677580e-01,3.311985892315860713e-02,3.162062139496867319e-01,1.046355022366758369e-01,3.285372754612563007e-02,2.773883351382429585e-01,1.430826067546066283e-01,1.458879874853649672e-01,3.308021854504000769e-01,1.793853004755032454e-01,1.719522009816571440e-01,4.707672795372418451e-01,4.589953459278585113e-01,3.672382754822525186e-01,2.638325917613719707e-01,3.354293799600489012e-01,4.032109003539801617e-01,3.341576240251336594e-01,3.689217429193857312e-01,7.004549015609642937e-02,3.976131980759925466e-01,2.788601437171582265e-01,2.003910958597507896e-01,3.734572343539326877e-01,7.287408031216632276e-01,4.341963777784488276e-01
1.846105181367437287e-01,3.472618971740755456e-02,2.750760119337315457e-01,9.499975884150678451e-02,3.705864245650607874e-02,2.507930149486555793e-01,1.370567990217404775e-01,1.630905531688957577e-01,2.954560391185651613e-01,1.636519474826391707e-01,2.227464982236365965e-01,4.524813667986273269e-01,4.970096979409702742e-01,3.907458543210780566e-01,2.598776244387309142e-01,3.390731192387996251e-01,4.470729670375991338e-01,3.486745702383766132e-01,3.777241168920152381e-01,6.665669297391764447e-02,3.761199003708522448e-01,2.735002367455950378e-01,2.191957818481019282e-01,3.506875228390443078e-01,7.668010380562281236e-01,4.455614475811247588e-01
1.600301711323432463e-01,3.931439626613723176e-02,2.422381209658498735e-01,8.910626170397875634e-02,4.765774477442327045e-02,1.966229090648110023e-01,1.830546399259121437e-01,1.835260145576804724e-01,3.358528320714755933e-01,1.641558989402901458e-01,2.282972655084972435e-01,3.561667163935647862e-01,4.467499535633521757e-01,3.437379784884713740e-01,2.167345294075107565e-01,3.378680252791443350e-01,4.358011572741091189e-01,3.301345706535880886e-01,3.337572094687754065e-01,6.733298277188183578e-02,3.364785400670700088e-01,2.458562441025757550e-01,1.942514218515423718e-01,3.447358557999095074e-01,7.191003697670760308e-01,4.193625491395092664e-01
1.459056852389653547e-01,4.131104594769412913e-02,2.025785163884239459e-01,6.781154812232163820e-02,4.285806824038281698e-02,2.564451351361793918e-01,2.066200169076878868e-01,1.721993766829844064e-01,3.532077473299650161e-01,1.654374599994005157e-01,2.634337450236916012e-01,3.592455395526058526e-01,4.839420361633448020e-01,3.688737735798807704e-01,1.752082952483411948e-01,3.876096821729402286e-01,4.612661958587404021e-01,3.413613910933405715e-01,3.194367437798776299e-01,1.056264323272086553e-01,3.395532368362484399e-01,2.548721376477782186e-01,2.104728000785325848e-01,3.559265059182117330e-01,6.024951603506234488e-01,3.896314887824559037e-01
1.304176891407193006e-01,3.787878902274448289e-02,2.015554060417454885e-01,8.196223412327115210e-02,3.951286086521093449e-02,2.554987764955808371e-01,2.371098077214523203e-01,1.560098080260874376e-01,3.356894647180054259e-01,1.639594262394241386e-01,3.176601831310906787e-01,3.145972081148362132e-01,5.327218540655349610e-01,3.883264151038205991e-01,1.536381493104546914e-01,4.300226067593377333e-01,4.647562101950203362e-01,3.494723220882708925e-01,3.838481371349320992e-01,1.477255521414974626e-01,3.317767240260628969e-01,2.877834711008308566e-01,1.430609488596217838e-01,3.755178123173504856e-01,5.237575216870186123e-01,3.474454276213303494e-01
9.435706781872546522e-02,3.266806291257857986e-02,1.663978928331803497e-01,7.550531252355426048e-02,4.256888983877461785e-02,2.080886444851780814e-01,2.382637587981234206e-01,1.620652695859608750e-01,3.794591620576001079e-01,1.554860067615195240e-01,3.426540420806248322e-01,2.605841399987557372e-01,4.716115129158864328e-01,3.582832316650890192e-01,1.093424190968375898e-01,4.373506573483022519e-01,5.323515063177610696e-01,3.596815275876336648e-01,3.695005964885339500e-01,1.589021128140383765e-01,3.600048368778012708e-01,2.961358487267911621e-01,1.281192773020135844e-01,3.591193214561345104e-01,4.662349852012500628e-01,3.178245279864660433e-01
1.292307738160264896e-01,3.635529694378631521e-02,1.582262819085872851e-01,7.572849927805687387e-02,3.778873645783498159e-02,1.955236799497944433e-01,2.205281051637669465e-01,1.509906963229780685e-01,3.979994586004971246e-01,1.558190587157031737e-01,2.904372064105365525e-01,2.596377363250118586e-01,4.937722292158018833e-01,3.479490573171168388e-01,1.251443198000499746e-01,4.731385982935932821e-01,5.636854933380718302e-01,3.873228038105717697e-01,4.226684134007044347e-01,2.439881665323288262e-01,3.351628845597106610e-01,3.339398214975813350e-01,1.420006429408406934e-01,4.098156492107754012e-01,3.577409681286667364e-01,3.031857534267609622e-01
